Gene	log2FC
6697	0.5493
6709	0.8421
8878	1.3486
6714	0.991
10617	0.7805
10494	0.8465
3925	2.0961
10273	0.5887
6810	0.6672
6832	0.5081
6839	1.3969
23512	0.8555
6856	0.9278
6894	1.5275
9797	0.8498
23061	0.7094
6908	0.5781
9519	0.5501
6909	1.1096
10915	0.6973
10732	1.0046
6988	0.8551
79600	0.6074
26136	0.9577
7016	0.7509
7027	0.6316
57215	0.6491
148022	0.5546
8914	1.254
10245	0.9164
26520	0.6703
7082	0.5059
7088	1.0121
11011	0.6806
7099	-0.6063
54499	1.0705
79073	0.8624
10329	0.5294
23585	0.8235
27346	0.899
27242	0.7565
10318	0.7982
10953	0.9673
7153	3.39
11073	1.079
7157	0.6184
7158	0.7884
7159	1.1497
7165	1.0796
7168	0.897
27095	0.5946
79090	0.6386
10221	-0.8306
57761	0.8474
80746	0.7697
10099	0.8436
7264	1.0624
11344	1.1099
10190	0.6702
7296	2.1589
7319	0.9634
11065	3.1614
89910	0.7988
9690	0.8054
55148	0.6841
7358	0.8351
7398	0.8781
9097	0.8229
23326	0.8924
10813	0.8225
9217	0.7529
10493	1.2009
7416	0.7027
9686	0.951
51160	1.1805
6944	1.3952
80349	0.5989
7466	1.0668
147179	0.7398
7485	0.6694
7511	0.5224
10652	1.2712
10730	0.512
64429	0.5667
7538	-1.0975
57178	0.7111
7690	0.5415
24149	0.9724
51385	0.7826
9183	0.5621
